epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.1344,1.4049,0.967,0.88452,0.9791,0.9915,0.99296,0.72112,1.03287,0.58254,0.86041,0.000395833,0.000395833,0.000395833
2,60.9201,1.4073,0.95292,0.96095,0.9791,0.9915,0.99296,0.72112,1.03287,0.58254,0.86041,0.000745469,0.000745469,0.000745469
3,91.2793,1.39946,1.25403,1.00683,0.9791,0.9915,0.99296,0.72112,1.03287,0.58254,0.86041,0.00102635,0.00102635,0.00102635
4,122.321,1.77642,1.35495,0.97343,0.87325,0.91493,0.87542,0.48551,1.72662,1.10591,0.9809,0.000940625,0.000940625,0.000940625
5,155.049,1.78052,1.38342,1.01179,0.87325,0.91493,0.87542,0.48551,1.72662,1.10591,0.9809,0.0008375,0.0008375,0.0008375
6,197.191,1.75975,1.41719,1.07221,0.87325,0.91493,0.87542,0.48551,1.72662,1.10591,0.9809,0.000734375,0.000734375,0.000734375
7,227.406,1.8514,1.46061,1.05473,0.73258,0.89969,0.81129,0.5005,1.60412,3.03795,0.95779,0.00063125,0.00063125,0.00063125
8,257.017,1.73372,1.28288,0.99261,0.73258,0.89969,0.81129,0.5005,1.60412,3.03795,0.95779,0.000528125,0.000528125,0.000528125
9,290.511,1.71475,1.31422,0.98607,0.73258,0.89969,0.81129,0.5005,1.60412,3.03795,0.95779,0.000425,0.000425,0.000425
10,326.616,1.6816,1.29713,0.97932,0.78874,0.91977,0.82967,0.53167,1.45265,2.74628,0.93111,0.000321875,0.000321875,0.000321875
11,355.802,1.55653,1.19295,0.9821,0.78874,0.91977,0.82967,0.53167,1.45265,2.74628,0.93111,0.00021875,0.00021875,0.00021875
12,384.305,1.48048,1.1368,0.93358,0.78874,0.91977,0.82967,0.53167,1.45265,2.74628,0.93111,0.000115625,0.000115625,0.000115625
