epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.1594,1.37639,1.20072,0.92585,0.97981,0.99177,0.99285,0.71922,1.03249,0.58486,0.8603,0.000395833,0.000395833,0.000395833
2,63.3476,1.34981,0.98959,1.00962,0.97981,0.99177,0.99285,0.71922,1.03249,0.58486,0.8603,0.000790156,0.000790156,0.000790156
3,90.692,1.39057,0.91817,0.883,0.97981,0.99177,0.99285,0.71922,1.03249,0.58486,0.8603,0.00116156,0.00116156,0.00116156
4,118.151,1.96801,1.48663,1.05379,0.73067,0.84248,0.80821,0.37905,1.99266,1.30499,1.0274,0.00114688,0.00114688,0.00114688
5,141.408,2.09925,1.60894,1.07774,0.73067,0.84248,0.80821,0.37905,1.99266,1.30499,1.0274,0.0011125,0.0011125,0.0011125
6,165.92,2.07871,1.4993,1.12883,0.73067,0.84248,0.80821,0.37905,1.99266,1.30499,1.0274,0.00107813,0.00107813,0.00107813
7,194.576,1.97103,1.62316,1.12294,0.68606,0.82903,0.83279,0.46877,1.68451,1.33146,0.96948,0.00104375,0.00104375,0.00104375
8,218.215,1.73067,1.63808,1.01776,0.68606,0.82903,0.83279,0.46877,1.68451,1.33146,0.96948,0.00100938,0.00100938,0.00100938
9,245.897,1.81069,1.62528,1.02915,0.68606,0.82903,0.83279,0.46877,1.68451,1.33146,0.96948,0.000975,0.000975,0.000975
10,273.549,1.5444,1.45422,0.97831,0.70966,0.87019,0.92125,0.5557,1.40305,1.12556,0.92491,0.000940625,0.000940625,0.000940625
11,297.497,1.54009,1.31573,0.96366,0.70966,0.87019,0.92125,0.5557,1.40305,1.12556,0.92491,0.00090625,0.00090625,0.00090625
12,323.375,1.50409,1.3228,1.0229,0.70966,0.87019,0.92125,0.5557,1.40305,1.12556,0.92491,0.000871875,0.000871875,0.000871875
13,348.253,1.44726,1.2649,0.95506,0.79619,0.92899,0.9582,0.62646,1.2557,0.94013,0.90162,0.0008375,0.0008375,0.0008375
14,373.84,1.46596,1.22173,0.97075,0.79619,0.92899,0.9582,0.62646,1.2557,0.94013,0.90162,0.000803125,0.000803125,0.000803125
15,399.19,1.36478,1.0326,0.9308,0.79619,0.92899,0.9582,0.62646,1.2557,0.94013,0.90162,0.00076875,0.00076875,0.00076875
16,423.489,1.43123,1.23613,0.93449,0.85812,0.95115,0.96486,0.64676,1.183,0.80222,0.89166,0.000734375,0.000734375,0.000734375
17,449.322,1.30404,0.94732,0.93909,0.85812,0.95115,0.96486,0.64676,1.183,0.80222,0.89166,0.0007,0.0007,0.0007
18,474.139,1.38945,1.02278,0.93913,0.85812,0.95115,0.96486,0.64676,1.183,0.80222,0.89166,0.000665625,0.000665625,0.000665625
19,498.846,1.48165,1.15885,0.92463,0.88456,0.97098,0.97343,0.66215,1.16763,0.7471,0.88215,0.00063125,0.00063125,0.00063125
