epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.3459,1.52934,1.65443,1.18442,0.91906,0.90643,0.94176,0.5865,1.24663,0.80734,1.01703,0.000395833,0.000395833,0.000395833
2,125.5,1.55203,1.72292,1.13415,0.91906,0.90643,0.94176,0.5865,1.24663,0.80734,1.01703,0.000778984,0.000778984,0.000778984
3,185.74,1.44719,1.91912,1.18952,0.91906,0.90643,0.94176,0.5865,1.24663,0.80734,1.01703,0.00112776,0.00112776,0.00112776
4,246.55,1.67397,2.1942,1.1777,0.71197,0.71313,0.72277,0.29669,1.80217,2.00373,1.23608,0.00109531,0.00109531,0.00109531
5,307.141,1.75415,1.89601,1.16287,0.71197,0.71313,0.72277,0.29669,1.80217,2.00373,1.23608,0.00104375,0.00104375,0.00104375
6,367.95,1.70042,1.95736,1.11202,0.71197,0.71313,0.72277,0.29669,1.80217,2.00373,1.23608,0.000992188,0.000992188,0.000992188
7,434.193,1.59541,1.9666,1.08229,0.65772,0.71624,0.7665,0.45213,1.45955,2.23982,1.10061,0.000940625,0.000940625,0.000940625
8,496.148,1.57542,1.83964,1.10672,0.65772,0.71624,0.7665,0.45213,1.45955,2.23982,1.10061,0.000889062,0.000889062,0.000889062
9,556.469,1.51507,1.84824,1.10479,0.65772,0.71624,0.7665,0.45213,1.45955,2.23982,1.10061,0.0008375,0.0008375,0.0008375
10,617.299,1.36157,1.61429,1.04419,0.69895,0.81867,0.81829,0.5279,1.27371,1.86984,1.02439,0.000785938,0.000785938,0.000785938
11,679.177,1.45908,1.61066,1.12358,0.69895,0.81867,0.81829,0.5279,1.27371,1.86984,1.02439,0.000734375,0.000734375,0.000734375
12,745.541,1.45661,1.50867,1.04375,0.69895,0.81867,0.81829,0.5279,1.27371,1.86984,1.02439,0.000682813,0.000682813,0.000682813
13,819.993,1.4046,1.49931,1.09543,0.77494,0.84052,0.85205,0.56745,1.22492,1.3879,1.01334,0.00063125,0.00063125,0.00063125
